,num_samples,num_features,sequential,parallel,device,parallel/sequential,batch
0,10000,100,493.7443941493127,50.96549789809997,cpu,10.322243351422749,256
1,1000,100,50.37067557698138,5.100405169800069,cpu,10.12574302682348,256
2,100,100,6.591883012880135,0.5512134755997977,cpu,8.36200330804961,256
3,10000,50,491.2689382807585,48.85038153340029,cpu,9.94371467985677,256
4,1000,50,49.54622502068378,4.886786038399441,cpu,9.863084496062779,256
5,100,50,6.4668131272803295,0.501396919799663,cpu,7.753385012542171,256
6,10000,10,484.90969218313296,47.15314304589992,cpu,9.72410818055826,256
7,1000,10,49.0146121046193,4.741796578199865,cpu,9.674250952101241,256
8,100,10,6.009682867804804,0.4750576697002543,cpu,7.90487085841489,256
9,10000,5,483.2783755442248,47.13347665449983,cpu,9.75286274736011,256
10,1000,5,48.8522348384191,4.717013079200115,cpu,9.65567510841999,256
11,100,5,5.994025045358285,0.4723169687000336,cpu,7.87979638266262,256
0,10000,100,1854.8811156399624,4.437641086700069,cuda,0.23924126723178,32
1,1000,100,189.01507319983463,0.4488593674992444,cuda,0.23747278981538,32
2,100,100,22.99294401467305,0.0428580866006086,cuda,0.18639669010308998,32
3,10000,50,1858.0699162767792,3.4826488961,cuda,0.18743368403910998,32
4,1000,50,189.14680389769487,0.350820590899093,cuda,0.1854752941471,32
5,100,50,23.024704797648155,0.0326725562008505,cuda,0.14190217198436,32
6,10000,10,1859.140249229459,2.745407162600168,cuda,0.14767079373049,32
7,1000,10,188.9656166129047,0.2759196569037158,cuda,0.1460158000431,32
8,100,10,22.98310533742769,0.0251751881980453,cuda,0.10953780104313,32
9,10000,5,1857.652726311618,2.676187262199528,cuda,0.14406283931836,32
10,1000,5,189.4110622850363,0.2688591946003725,cuda,0.14194482167877,32
11,100,5,22.91130273612216,0.0243236787006026,cuda,0.10616453800443,32
0,10000,100,586.2674809556996,53.08973159519987,cpu,9.05554773542207,128
1,1000,100,59.25946429307514,5.366430075599965,cpu,9.055819419931991,128
2,100,100,6.670536722305224,0.5468493362001027,cpu,8.19798104658542,128
3,10000,50,583.4681702451671,49.79136747610028,cpu,8.53369044196163,128
4,1000,50,58.99349772656897,4.942785941300462,cpu,8.37852667121036,128
5,100,50,6.570751207001012,0.5052899229001924,cpu,7.6899871412239005,128
6,10000,10,564.7010979908194,47.08934247499965,cpu,8.33880837890015,128
7,1000,10,57.09411931430877,4.721806438300336,cpu,8.27021503266619,128
8,100,10,6.114718035170154,0.466256240200164,cpu,7.62514702261638,128
9,10000,5,564.428169109067,46.92889367000098,cpu,8.3144138153269,128
10,1000,5,56.99864506547674,4.708961892700609,cpu,8.26153303695417,128
11,100,5,6.096624786618486,0.462708892399678,cpu,7.58959110318352,128
0,10000,100,717.1693894732922,1.3114032578996555,cuda,0.18285823086548,128
1,1000,100,72.85471390311287,0.1330817014004424,cuda,0.18266724865246,128
2,100,100,8.642043711184305,0.0017630930007726,cuda,0.0204013432435,128
3,10000,50,717.594600783963,1.1992471090998151,cuda,0.16712041977317002,128
4,1000,50,73.85982683161929,0.121762082799978,cuda,0.16485562994557001,128
5,100,50,8.75654105308131,0.0017950467998161,cuda,0.02049949619301,128
6,10000,10,724.5257553151866,1.105219054000918,cuda,0.1525437910099,128
7,1000,10,73.933752053816,0.1121500856992497,cuda,0.1516899691735,128
8,100,10,8.751216608803952,0.0018031129991868,cuda,0.02060414088451,128
9,10000,5,725.6384247326044,1.1041791627998463,cuda,0.15216657844528,128
10,1000,5,73.83946336247682,0.1118413814998348,cuda,0.15146559360921,128
11,100,5,8.769418238104118,0.0018060023998259,cuda,0.02059432394247,128
0,10000,100,1179.4047030267436,74.6612540465998,cpu,6.330418545474189,32
1,1000,100,120.29678179590556,7.373187752900412,cpu,6.12916459012984,32
2,100,100,14.283300613774918,0.8089929554058471,cpu,5.6639076448873995,32
3,10000,50,1134.9554833643838,62.66412715849874,cpu,5.52128502632909,32
4,1000,50,116.30274077175416,6.14350290739385,cpu,5.28233717161538,32
5,100,50,13.883987289038489,0.6579525997018209,cpu,4.7389311586397,32
6,10000,10,1097.5026367586777,53.351378171503896,cpu,4.8611617306970505,32
7,1000,10,111.83996784726916,5.337899038597243,cpu,4.772800941687301,32
8,100,10,13.360328341115382,0.5394876157020917,cpu,4.03798171667578,32
9,10000,5,1097.5992248738826,52.73680549710698,cpu,4.80474150327197,32
10,1000,5,112.05436682564614,5.248084901002585,cpu,4.6835166265037,32
11,100,5,13.436823389469646,0.5253633974003605,cpu,3.9098779687175496,32
0,10000,100,566.2478564141869,2.749653153799909,cuda,0.48559179918354,256
1,1000,100,57.12905775470026,0.2331596344996796,cuda,0.40812791889691996,256
2,100,100,8.502602294078496,0.0014270058996771,cuda,0.01678316649799,256
3,10000,50,567.847027620908,2.5690212114999667,cuda,0.45241430993542,256
4,1000,50,57.13358032386641,0.2176196318996517,cuda,0.38089619216239,256
5,100,50,8.519287864211583,0.0014272877993789,cuda,0.016753604551550002,256
6,10000,10,568.5828669919141,2.438617362899822,cuda,0.42889392285091,256
7,1000,10,56.94103687660645,0.2062564171999838,cuda,0.36222806698611,256
8,100,10,8.514811177377487,0.0014054631996259,cuda,0.01650609943483,256
9,10000,5,566.5920982977539,2.4256672006999,cuda,0.42811525398738,256
10,1000,5,57.02001596395276,0.2026971613013302,cuda,0.35548422404769,256
11,100,5,8.51052166632653,0.0014233516012609,cuda,0.01672461051233,256
0,10000,100,717.9159447581362,2.9449652554962085,cuda,0.41021031459167995,128
1,1000,100,72.84284184158022,0.295969519999926,cuda,0.40631242894613995,128
2,100,100,8.519208326254738,0.0014095349964918,cuda,0.01654537537423,128
3,10000,50,721.1231597496459,2.652083582399064,cuda,0.36777123942598,128
4,1000,50,72.86896258277702,0.2648157332965638,cuda,0.36341361796627003,128
5,100,50,8.498930445295992,0.001405625703046,cuda,0.01653885406044,128
6,10000,10,721.3233114343078,2.4286297250044298,cuda,0.33669086892190003,128
7,1000,10,72.9896581068344,0.2435266947053605,cuda,0.33364547940327,128
8,100,10,8.487368396279635,0.0013991726969834,cuda,0.01648535366506,128
9,10000,5,720.1919176366325,2.4074042980995727,cuda,0.33427260694616,128
10,1000,5,73.1661799928348,0.2411877553997328,cuda,0.32964377178547,128
11,100,5,8.522962787022697,0.0014165525033604,cuda,0.016620423422670002,128
