,holdout_overall_acc,mean_diffs,num_neurons,test_overall_acc,train_overall_acc,validation_overall_acc
experiment,exp0090_politica_1_oracle_1m1l,exp0090_politica_1_oracle_1m1l,exp0090_politica_1_oracle_1m1l,exp0090_politica_1_oracle_1m1l,exp0090_politica_1_oracle_1m1l,exp0090_politica_1_oracle_1m1l
policy,,,,,,
Best Architectural Holdout,0.908295376984127,0.02066854761904757,87.35714285714286,0.8548441666666666,0.9098800912698413,0.8877942658730159
Best Architectural Holdout Over All Runs,0.908295376984127,0.02066854761904757,87.35714285714286,0.8548441666666666,0.9098800912698413,0.8877942658730159
Best Architectural Validation,0.8951065158730159,0.013297653439153387,92.28571428571429,0.8490551666666667,0.8917187261904762,0.9012927817460317
Best Architectural Validation Over All Runs,0.8951065158730159,0.013297653439153387,92.28571428571429,0.8490551666666667,0.8917187261904762,0.9012927817460317
Train,0.912781111111111,0.033537298941798896,73.46825396825396,0.8506063412698412,0.9244672222222222,0.8746528531746032
Utopic Euclidean Train Validation Holdout,0.9158655238095238,0.013288740740740693,76.96825396825396,0.8547697222222223,0.9167350396825398,0.9096252777777778
Utopic Euclidean Train Validation Holdout Test,0.9121752817460317,0.015437820105820056,78.1984126984127,0.887728884920635,0.9133770476190477,0.9033856666666666
Validation,0.8896823611111111,0.02850897619047614,47.01984126984127,0.8424645039682539,0.8784666031746031,0.9185833095238095
all_except_test,0.8855264087301588,0.014357314814814767,15.865079365079366,0.8356638333333334,0.8838327142857143,0.8875849920634921
holdout,0.9176423611111112,0.018662767195767146,76.40873015873017,0.855444,0.9207947420634921,0.8993914285714285
mairca_pareto_holdout,0.8345908095238095,0.017265394179894127,68.53968253968254,0.7869612817460317,0.8361187777777778,0.8208550515873015
mairca_pareto_holdout_reverse,0.8592148849206349,0.0175279444444444,5.555555555555555,0.8180904246031746,0.8589655714285714,0.8493198650793651
moora_pareto_holdout,0.8408742023809523,0.01620666931216927,3.496031746031746,0.8077979484126984,0.8396940317460317,0.8329900912698412
moora_pareto_holdout_inverse,0.9019785277777778,0.019641124338624288,75.52380952380952,0.842682238095238,0.9053563253968253,0.8827537817460318
oracle,0.8767738293650793,0.018063925925925876,42.79761904761905,0.9060561309523809,0.8741895277777778,0.8707325436507937
topsis_all_overall_acc_except_test,0.8765729801587301,0.014782904761904714,10.773809523809524,0.8295913888888888,0.8752859047619047,0.8778792063492064
topsis_best_rank_architecture_pareto_train_validation_holdout_no_epochs,0.878254261904762,0.014499859788359735,10.670634920634921,0.8291627500000001,0.875761761904762,0.883811865079365
topsis_holdout_in_best_median_architecture_10fold_nopareto,0.8642159087301587,0.01584206613756609,6.718253968253968,0.8218706746031746,0.8647052380952381,0.8550512698412699
topsis_pareto_holdout,0.8644268174603175,0.015184423280423232,6.662698412698413,0.821632996031746,0.8646630674603175,0.8561654603174603
topsis_pareto_holdout_mean_diffs,0.8598294166666666,0.0046292407407406925,7.023809523809524,0.8188263293650794,0.8593661825396826,0.8581526904761905
topsis_pareto_holdout_no_epochs,0.8687859722222222,0.015505751322751272,6.690476190476191,0.8214539642857143,0.8686254126984128,0.8627213452380952
topsis_pareto_holdout_no_num_neurons,0.9137455357142857,0.020837997354497307,75.20238095238095,0.8522039444444445,0.9185680952380952,0.8922081507936508
topsis_pareto_holdout_weighted_neu-p1_epc-p1_hold-p8,0.9006217579365079,0.01820073809523804,26.988095238095237,0.840644130952381,0.9034100396825397,0.8848708650793651
topsis_pareto_holdout_weighted_neu-p3_epc-p1_hold-p6,0.8820545714285714,0.01585618253968249,11.261904761904763,0.8296534563492064,0.8837309722222223,0.8717860634920636
topsis_pareto_oracle,0.8431708015873015,0.0174440899470899,6.099206349206349,0.8579001865079364,0.8439805595238095,0.8335519285714286
topsis_pareto_oracle_holdout_no_epochs_no_num_neurons,0.9089667777777778,0.019041671957671903,75.50396825396825,0.8965012738095238,0.9121903888888889,0.8904694722222222
topsis_pareto_oracle_holdout_train,0.8721468809523809,0.018098158730158687,9.571428571428571,0.8606119007936508,0.8756546071428571,0.8559913928571429
topsis_pareto_oracle_holdout_train_noepochs_nonum_neurons,0.9097900873015873,0.022410867724867674,76.3015873015873,0.8952226111111111,0.9150682936507936,0.8864010634920635
topsis_pareto_oracle_holdout_validation_train,0.8769862976190477,0.013743740740740697,11.88888888888889,0.858985615079365,0.8753423611111111,0.8784799563492063
topsis_pareto_oracle_holdout_validation_train_noepochs_nonum_neurons,0.9105363531746032,0.016932248677248626,76.49603174603175,0.8888242222222221,0.9104843214285714,0.9047151428571428
topsis_pareto_train,0.8631128928571429,0.022108224867724822,6.587301587301587,0.8218091587301588,0.8690576626984127,0.8404421706349207
topsis_pareto_train_validation_holdout,0.8765729801587301,0.014782904761904714,10.773809523809524,0.8295913888888888,0.8752859047619047,0.8778792063492064
topsis_pareto_train_validation_holdout_no_epochs,0.87829625,0.014393002645502593,10.273809523809524,0.8289737857142857,0.875873115079365,0.8836110912698413
topsis_pareto_validation,0.8529029484126984,0.020389039682539637,6.853174603174603,0.8154715992063492,0.8459518452380953,0.8730783531746032
topsis_train_validation_holdout_no_num_neurons_no_epochs,0.9149892658730159,0.015146751322751272,75.97619047619048,0.8542340992063492,0.9149158492063493,0.9110005634920635
ttest_ind_holdout,0.900127873015873,0.026474695767195713,57.04365079365079,0.8465340674603175,0.8907421071428571,0.883239611111111
ttest_rel_holdout,0.9049484841269841,0.02877158201058196,62.01587301587302,0.8502194841269841,0.894844876984127,0.8855584484126984
wilcoxon_holdout,0.9056426706349207,0.027948878306878255,63.833333333333336,0.8513287063492063,0.8952546269841269,0.8877425912698412
